Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.8917 (0.0661),0.4163 (0.054),0.9094 (0.0285),0.9827 (0.0042),0.4003 (0.0555),0.654 (0.0454),0.4754 (0.0796),0.0734 (0.0269)
SPIRE,0.9083 (0.04),0.4329 (0.0294),0.8359 (0.0517),0.9811 (0.0032),0.2903 (0.0584),0.6706 (0.0266),0.4754 (0.0458),0.1451 (0.0496)
FS,0.7708 (0.1136),0.3761 (0.0401),0.9406 (0.0335),0.9839 (0.0071),0.4875 (0.1544),0.5735 (0.0683),0.3948 (0.1017),0.0433 (0.0277)
