Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.5702 (0.0616),0.2534 (0.0522),0.994 (0.0027),0.9983 (0.0005),0.655 (0.0672),0.4118 (0.0325),0.3168 (0.094),0.0043 (0.0027)
SPIRE,0.5086 (0.0562),0.3412 (0.0633),0.996 (0.0013),0.9978 (0.0009),0.7037 (0.0427),0.4249 (0.0502),0.1673 (0.0653),0.0018 (0.0014)
FS,0.4897 (0.111),0.2466 (0.087),0.9933 (0.0034),0.9979 (0.0018),0.6062 (0.1042),0.3682 (0.078),0.2431 (0.1242),0.0046 (0.0029)
