Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.8358 (0.0231),0.4118 (0.0588),0.9962 (0.0017),0.9999 (0.0002),0.9187 (0.0313),0.6238 (0.0311),0.4241 (0.0642),0.0037 (0.0016)
SPIRE,0.6077 (0.0391),0.5147 (0.0705),0.9984 (0.0009),0.9986 (0.0014),0.9322 (0.0395),0.5612 (0.0451),0.093 (0.0699),0.0002 (0.0012)
FS,0.8057 (0.0493),0.4007 (0.0549),0.9951 (0.0013),0.9998 (0.0002),0.8931 (0.0203),0.6032 (0.0429),0.405 (0.0594),0.0047 (0.0013)
