Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.7375 (0.0615),0.2532 (0.0325),0.9951 (0.0013),0.9997 (0.0004),0.8282 (0.0281),0.4954 (0.0368),0.4843 (0.0654),0.0046 (0.0014)
SPIRE,0.6896 (0.0936),0.2853 (0.0414),0.9966 (0.0017),0.9984 (0.0022),0.8437 (0.0704),0.4874 (0.0639),0.4043 (0.0681),0.0017 (0.001)
FS,0.7292 (0.0289),0.2179 (0.0385),0.9939 (0.0013),0.9998 (0.0002),0.7879 (0.0355),0.4736 (0.0211),0.5112 (0.0534),0.0059 (0.0013)
