Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.6835 (0.0411),0.1771 (0.0438),0.9948 (0.0014),0.9998 (0.0002),0.762 (0.0478),0.4303 (0.0197),0.5064 (0.0752),0.0051 (0.0013)
SPIRE,0.5239 (0.0783),0.2604 (0.0459),0.997 (0.001),0.9987 (0.0009),0.7901 (0.0465),0.3922 (0.0584),0.2635 (0.0532),0.0017 (0.0009)
FS,0.6223 (0.0573),0.1111 (0.0556),0.9938 (0.0012),0.9999 (0.0002),0.6992 (0.0458),0.3667 (0.0397),0.5112 (0.0803),0.006 (0.0011)
