Mode,both,just_main,just_spurious,neither,b-precision,b-recall,r-gap,h-gap
Baseline,0.5688 (0.0791),0.2361 (0.0972),0.9877 (0.0061),0.9997 (0.0004),0.6822 (0.1098),0.4025 (0.0707),0.3327 (0.1069),0.012 (0.0059)
SPIRE,0.4511 (0.0268),0.2882 (0.05),0.9948 (0.0015),0.9983 (0.0013),0.7678 (0.0579),0.3696 (0.0301),0.1629 (0.0529),0.0035 (0.0016)
FS,0.5462 (0.047),0.1771 (0.0844),0.9912 (0.0023),0.9999 (0.0001),0.7111 (0.0398),0.3616 (0.0637),0.3691 (0.0494),0.0088 (0.0022)
