Mode,b-precision,b-recall,r-gap,h-gap
SPIRE,0.612 (0.099),0.427 (0.088),0.711 (0.049),0.664 (0.059)
FS,0.543 (0.119),0.177 (0.094),0.56 (0.08),0.578 (0.077)
